CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL4355	20020	Serine/threonine-protein kinase GAK	O14976	SINGLE PROTEIN	Homo sapiens	250	388
CHEMBL4517	100847	Tyrosine-protein kinase FYN	P39688	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL4574	100850	BR serine/threonine-protein kinase 2	Q8IWQ3	SINGLE PROTEIN	Homo sapiens	752	1378
CHEMBL260	10188	MAP kinase p38 alpha	Q16539	SINGLE PROTEIN	Homo sapiens	6987	10553
CHEMBL4924	10939	Ribosomal protein S6 kinase alpha 6	Q9UK32	SINGLE PROTEIN	Homo sapiens	668	1390
CHEMBL5082	101056	Serine/threonine-protein kinase 24	Q9Y6E0	SINGLE PROTEIN	Homo sapiens	306	526
CHEMBL5145	100126	Serine/threonine-protein kinase B-raf	P15056	SINGLE PROTEIN	Homo sapiens	4063	7568
CHEMBL5560	19907	CaM kinase I alpha	O04417	SINGLE PROTEIN	Zea mays	14	14
CHEMBL1075161	103100	5'-AMP-activated protein kinase catalytic subunit alpha-1	Q5EG47	SINGLE PROTEIN	Mus musculus	9	26
CHEMBL1075184	103113	Proto-oncogene serine/threonine-protein kinase mos	P00540	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL5585	101245	Hepatocyte growth factor receptor	P16056	SINGLE PROTEIN	Mus musculus	21	34
CHEMBL5654	101273	Myosin-IIIB	Q8WXR4	SINGLE PROTEIN	Homo sapiens	99	137
CHEMBL1075133	103062	G protein-coupled receptor kinase 7	Q8WTQ7	SINGLE PROTEIN	Homo sapiens	633	1178
CHEMBL1075134	103063	Serine/threonine-protein kinase mTOR	P42346	SINGLE PROTEIN	Rattus norvegicus	33	35
CHEMBL5754	101317	MAP/microtubule affinity-regulating kinase 4	Q96L34	SINGLE PROTEIN	Homo sapiens	591	1011
CHEMBL6186	102465	Serine/threonine-protein kinase Sgk3	Q96BR1	SINGLE PROTEIN	Homo sapiens	665	1212
CHEMBL5855	101359	Serine/threonine-protein kinase Nek1	Q96PY6	SINGLE PROTEIN	Homo sapiens	737	1424
CHEMBL5859	101582	RAC-alpha serine/threonine-protein kinase	P31750	SINGLE PROTEIN	Mus musculus	77	92
CHEMBL5903	101598	Activin receptor type-1	Q04771	SINGLE PROTEIN	Homo sapiens	532	602
CHEMBL6012	101417	Inhibitor of nuclear factor kappa-B kinase subunit beta	O88351	SINGLE PROTEIN	Mus musculus	37	72
CHEMBL6055	102400	Serine/threonine-protein kinase WNK3	Q9BYP7	SINGLE PROTEIN	Homo sapiens	178	343
CHEMBL3032	10842	Protein kinase N2	Q16513	SINGLE PROTEIN	Homo sapiens	1167	1464
CHEMBL2096665	104820	Pyruvate dehydrogenase kinase	Q15118, Q15119, Q15120, Q16654	PROTEIN FAMILY	Homo sapiens	218	233
CHEMBL1163106	103435	Serine/threonine-protein kinase MAK	P20794	SINGLE PROTEIN	Homo sapiens	85	91
CHEMBL1163128	103457	Microtubule-associated serine/threonine-protein kinase 1	Q9Y2H9	SINGLE PROTEIN	Homo sapiens	84	90
CHEMBL2021750	104517	TGF-beta receptor type-1	Q64729	SINGLE PROTEIN	Mus musculus	16	17
CHEMBL2096620	104813	Protein kinase C, PKC; classical/novel	O94806, P05129, P05771, P17252, P24723, Q02156, Q04759, Q05655, Q15139	PROTEIN FAMILY	Homo sapiens	68	71
CHEMBL2096980	104860	Platelet-derived growth factor receptor	P05622, P26618	PROTEIN COMPLEX	Mus musculus	225	273
CHEMBL2079848	104669	Activated CDC42 kinase 1	O54967	SINGLE PROTEIN	Mus musculus	41	41
CHEMBL2094127	104709	Cyclin-dependent kinase 1/cyclin B	O95067, P06493, P14635, Q8WWL7	PROTEIN COMPLEX	Homo sapiens	676	824
CHEMBL2094138	104720	cAMP-dependent protein kinase (PKA)	P17612, P22612, P22694	PROTEIN FAMILY	Homo sapiens	786	862
CHEMBL2111326	105020	Cyclin-dependent kinase 2 and 4 (CDK2 and CDK4)	P11802, P24941	SELECTIVITY GROUP	Homo sapiens	15	20
CHEMBL2111331	105028	KinA/Spo0F (sporulation kinase A/sporulation initiation phosphotransferase F)	P06628, P16497	PROTEIN FAMILY	Bacillus subtilis (strain 168)	75	79
CHEMBL2111336	105035	VEGF-receptor 2 and tyrosine-protein kinase SRC	P12931, P35968	SELECTIVITY GROUP	Homo sapiens	25	25
CHEMBL2034793	104533	Cytoplasmic tyrosine-protein kinase BMX	P97504	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL2034800	104540	Tyrosine-protein kinase receptor Tie-1	Q06806	SINGLE PROTEIN	Mus musculus	6	6
CHEMBL2111458	104980	Casein kinase I	P48729, P48730, P49674, P78368, Q9HCP0	PROTEIN FAMILY	Homo sapiens	40	42
CHEMBL2111473	105000	MAP kinase p38	O08911, P47811, Q9WUI1, Q9Z1B7	PROTEIN FAMILY	Mus musculus	38	40
CHEMBL2872	12038	Mitogen-activated protein kinase kinase kinase 9	P80192	SINGLE PROTEIN	Homo sapiens	441	681
CHEMBL3430876	109633	Dual specificity mitogen-activated protein kinase kinase MEK1/2	P36506, Q01986	PROTEIN FAMILY	Rattus norvegicus	15	15
CHEMBL3430888	109645	Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET	P07949, P33176	CHIMERIC PROTEIN	Homo sapiens	77	78
CHEMBL3430907	109664	Aurora kinase B/Inner centromere protein	Q96GD4, Q9NQS7	PROTEIN COMPLEX	Homo sapiens	118	144
CHEMBL3301391	108405	JAK1/TYK2	P23458, P29597	PROTEIN COMPLEX	Homo sapiens	6	8
CHEMBL3038453	107879	AMPK alpha1/beta2/gamma1	O43741, P54619, Q13131	PROTEIN COMPLEX	Homo sapiens	6	7
CHEMBL3038463	107889	AKT/p21CIP1	P31749, P38936	PROTEIN COMPLEX	Homo sapiens	1	2
CHEMBL3038474	107900	CDK8/Cyclin C	P24863, P49336	PROTEIN COMPLEX	Homo sapiens	151	179
CHEMBL3038486	107912	IKK epsilon/TBK1	Q14164, Q9UHD2	PROTEIN COMPLEX	Homo sapiens	16	16
CHEMBL3038499	107925	TAK1/TAB1	O43318, Q15750	PROTEIN COMPLEX	Homo sapiens	192	193
CHEMBL3038501	107927	JNK1/JNK2	Q91Y86, Q9WTU6	PROTEIN FAMILY	Mus musculus	3	6
CHEMBL4066	11858	Fibroblast growth factor receptor 3	Q61851	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL4220	100078	Nerve growth factor receptor Trk-A	P35739	SINGLE PROTEIN	Rattus norvegicus	12	22
CHEMBL2176779	105354	DNA-dependent protein kinase catalytic subunit	P97313	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL2176799	105374	Serine/threonine-protein kinase WNK1	P83741	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL2176843	105418	Glycogen synthase kinase-3 alpha	Q2NL51	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL2595	10885	Protein kinase C nu	O94806	SINGLE PROTEIN	Homo sapiens	1395	1834
CHEMBL3537	20147	Casein kinase II alpha	Q60737	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL4597	30022	Serine/threonine-protein kinase PCTAIRE-1	Q00536	SINGLE PROTEIN	Homo sapiens	293	371
CHEMBL3559685	109740	RAF serine/threonine protein kinase	P04049, P10398, P15056	PROTEIN FAMILY	Homo sapiens	2	2
CHEMBL3559691	109746	Cyclin-dependent kinase	O94921, P06493, P11802, P21127, P24941, P49336, P50613, P50750, Q00526, Q00534, Q00535, Q00536, Q00537, Q07002, Q14004, Q15131, Q8IZL9, Q96Q40, Q9BWU1, Q9NYV4	PROTEIN FAMILY	Homo sapiens	36	75
