CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL3885633	117177	Retinoic acid receptor RXR-alpha/gamma	P13631, P19793	PROTEIN COMPLEX	Homo sapiens	11	11
CHEMBL2459	10961	Peroxisome proliferator-activated receptor gamma	P37238	SINGLE PROTEIN	Mus musculus	345	487
CHEMBL1860	59	Thyroid hormone receptor alpha	P10827	SINGLE PROTEIN	Homo sapiens	546	809
CHEMBL2003	240	Retinoic acid receptor gamma	P13631	SINGLE PROTEIN	Homo sapiens	563	1014
CHEMBL2792	11718	Retinoic acid receptor alpha	P11416	SINGLE PROTEIN	Mus musculus	59	91
CHEMBL3065	12787	Estrogen receptor alpha	P19785	SINGLE PROTEIN	Mus musculus	27	43
CHEMBL3751	11254	Estrogen-related receptor beta	O95718	SINGLE PROTEIN	Homo sapiens	72	91
CHEMBL1741186	103982	Nuclear receptor ROR-gamma	P51449	SINGLE PROTEIN	Homo sapiens	2427	3817
CHEMBL1961791	104476	Nuclear receptor subfamily 2 group F member 6	P10588	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL1961793	104478	Nuclear receptor subfamily 6 group A member 1	Q15406	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL1250403	103517	Ecdysone receptor	O18531	SINGLE PROTEIN	Lucilia cuprina	24	24
CHEMBL2095163	104748	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2	P37231, Q15596	PROTEIN-PROTEIN INTERACTION	Homo sapiens	749	749
CHEMBL1961784	104469	Nuclear receptor subfamily 1 group D member 2	Q14995	SINGLE PROTEIN	Homo sapiens	6	13
CHEMBL2111394	105089	RXR alpha/PPAR gamma	P19793, P37231	PROTEIN COMPLEX	Homo sapiens	38	73
CHEMBL3509594	109683	Nuclear receptor subfamily 1 group I member 3	Q9QUS1	SINGLE PROTEIN	Rattus norvegicus	3	17
CHEMBL2146315	105143	Nuclear receptor subfamily 1 group I member 2	Q9R1A7	SINGLE PROTEIN	Rattus norvegicus	508	622
CHEMBL3706565	109980	Liver X receptor (LXR alpha AND LXR beta)	P55055, Q13133	SELECTIVITY GROUP	Homo sapiens	107	115
CHEMBL2366581	106725	Ecdysone receptor	P20153, P34021	PROTEIN COMPLEX	Drosophila melanogaster	94	183
CHEMBL2366575	106719	Ecdysone receptor	P49880, Q9GSG8	PROTEIN COMPLEX	Aedes aegypti	4	7
CHEMBL3879839	116964	Nuclear receptor subfamily 4 group A member 2	Q06219	SINGLE PROTEIN	Mus musculus	2	6
